language,location,messsage
pt,,"RT @AiltonBenedito: Igreja, não museu.
Sem o olhar da fé, que é o incêndio que afetou a Catedral de Notre-Dame de Paris senão a destruição de um simples “museu”? https://t.co/9xbB1ajQFe"
en,"Manchester, England",RT @thatonequeen: Y'all care more about Notre Dame than you do about The Pipeline.
en,CyberSpace,"What Notre Dame Means to Me, a Lifelong Catholic https://t.co/UVPYQ7WlSK #KAG2020 #MAGA"
en,eunji's ♡,RT @Newsweek: Jerusalem's Al-Aqsa Mosque burns at the same time as fire engulfs Notre Dame Cathedral in Paris https://t.co/IBve6ek5AH https://t.co/NhprnLM4y7
es,,"RT @NuncaDespedia: Lo de Notre Dame es terrible, una pérdida histórica irreparable.

Lo de Irak y Siria... bah. Solo fueron cientos de monumentos de un par de milenios más de antigüedad, destruídos no por abandono, sino por mercenarios a sueldo de la misma OTAN que todos nosotros financiamos."
en,"Pittsburgh, PA","RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
es,,"RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
en,sc: vintaaage_me,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,inside of chers weave 👌🏻,"RT @cher: Worked,Tried To Explain Myself,,Cried About Notre Dame,Worked,Felt Misunderstood,Worked,
Wondered how ppl could condemn me after all I’ve said &amp; Done in life,Worked &amp; Compartmentalized my Emotions,Took Care Of Those In My Care.Remembered Pain will wait 4 U.Choose Joy Now.😥later"
en,"Tel Aviv, Israel","RT @benshapiro: Hey, @washingtonpost, any interest in fixing this nonsense? I noted that Notre Dame is a monument to Western civilization because it is. That has nothing to do with blaming Muslims, and to suggest it does is simply a lie."
en,"New York, NY","RT @oneunderscore__: Sophie Bjork-James brought up a good point here :

It doesn't matter to white nationalists if the viral racist posts are real. They'll use it to tell you the race war is happening.

In these moments, an apathetic Twitter or YouTube are perfect amplifiers.

https://t.co/SDgRak8a3M https://t.co/8sH1HLKEV3"
en,SGP/SYD,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,"Victoria, Australia",RT @itslola2u: its terrible that notre dame has been damaged but im pretty sure the french govt or the scumbag catholic church can rebuild it without our cash.
ja,日本 東京,"アメブロを更新しました。 『”世界遺産ートルダム大聖堂（仏：Cathédrale Notre-Dame de Paris)”』 #世界遺産 #ノートルダム大聖堂
https://t.co/Hr5ywPoO1I"
es,,"¿Qué protocolos existen frente a un hecho como el voraz incendio de la icónica Catedral de Notre Dame de París?. Esto dijo en @LaNoche
Gautier Mignot embajador de Francia en Colombia @france_colombia en diálogo con nuestro subdirector @JeffersonNTN24 #LaNocheNotreDame https://t.co/RERJ6CFJq9"
en,"Chicago, IL","RT @BeschlossDC: American soldiers at Notre Dame, August 1944, during liberation of Paris, World War II:      #Getty https://t.co/KLiVX60nTx"
ja,出生:嘉手納町、居住地:沖縄市、勤務地:宜野湾市,RT @BR_KLASSIK: Die historische Cavaillé-Coll-Orgel ist den Flammen von #NotreDame zum Glück nicht zum Opfer gefallen. Dieses einzigartige Bauwerk steht in ihrer Gesamtheit auch für eine wichtige musikalische Epoche. #NotreDameCathedralFire #Notre_Dame_De_Paris #organe https://t.co/xJdPgJgK4l
en,"Brunswick, GA","RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,"Belfast, Northern Ireland","RT @TVsCarlKinsella: With a click of their fingers, TWO French billionaires have given €300million to restore Notre Dame. Just imagine if billionaires cared as much about uhhhh human people."
en,"Portland, OR","RT @Iron_Spike: A billionaire has Notre-Dame covered. Please consider helping these churches, who don't have a wealthy benefactor coming to their rescue. Every little bit helps. https://t.co/7e5pNbHnJK"
en,"Kennesaw, GA","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,Paris,"RT @imperiumsilver: I heard this outside of my window and found this. Notre Dame is being serenaded. Honestly, it’s more moving than I could describe. https://t.co/3AZRkFh1yO"
es,Ciudad de México y Nopala Hgo,"Incendie à Notre-Dame de Paris : ""Le grand orgue, a priori, est sauvé"" https://t.co/mPa5wEcPj0"
en,United States,RT @Bruno_J_Navarro: The massive financial support for Notre-Dame prompted journalist @Yashar Ali to point people toward another worthy cause: rebuilding three historically black churches in Louisiana that were recently destroyed by arson. https://t.co/5HVYTfMLOY
en,"Tel Aviv, Israel","RT @benshapiro: This, from @chick_in_kiev, in The Washington Post, is the sheerest form of disgusting bulls***. I blamed no one for the Notre Dame fire, since it was an accident by all available evidence, and imputing malicious intent to me is simply gross. https://t.co/e5gvQqQc2G https://t.co/T98E2JWJXe"
fr,France,"RT @ChLECHEVALIER: #NotreDame
Il est évidemment possible que la catastrophe soit accidentelle.
Cpdt, comme l'indique le Procureur, l'enquête durera longtemps !
Donc, RIEN ne permet d'évacuer la piste criminelle comme le fait si vite la Presse !

Souvenons-ns de Carpentras..

https://t.co/1jDLhl0InU"
es,"Mérida, Yucatán Mx","RT @salidoco: ¡A huevo suban sus fotos en Notre Dame, en sus viajes, en sus logros, en lo que los haga felices! Que aún habemos personas que nos da gusto la alegría de los demás....

...sólo en su cuarto a medio terminar ahí si no. No chinguen."
pt,"Porto Alegre, Brasil",RT @mfgtb_: O incêndio em Notre Dame fez-me perceber que tenho que ficar rica e viajar pelo mundo rápido antes que vá tudo com o crlh
en,,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
en,,I heard they were gonna tear down the Notre Dame and build a Hooters?
en,"Montana, USA",RT @TheOnion: Notre Dame Gargoyle Going To Stay As Still As Possible Until Arson Investigator Gone https://t.co/ybAQwnNNS3 https://t.co/qWngTYjdKL
ca,,"RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
es,"Colorado, US. ",Veo a mucha gente quejandose del dinero que se va a gastar para arreglar Notre dame al mismo tiempo que aclaman a messi y a cristiano quienes han sido condenados por fraude fiscal
it,,RT @parcesepulto: Poco fa mi ha contattato la Postale per sapere perché sono stato a Notre-Dame nel dicembre 2016 e non sto postando foto sui social.
it,,RT @parcesepulto: Poco fa mi ha contattato la Postale per sapere perché sono stato a Notre-Dame nel dicembre 2016 e non sto postando foto sui social.
en,,RT @Newsweek: Jerusalem's Al-Aqsa Mosque burns at the same time as fire engulfs Notre Dame Cathedral in Paris https://t.co/IBve6ek5AH https://t.co/NhprnLM4y7
en,"Panama City, Florida 32401","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
es,"San Salvador, El Salvador","RT @templarioES: $680 millones van ya para reparar Notre Dame....aquí se quemó la Iglesia San Esteban , que tiene un significado histórico, y ningún catoliquito millonario donó algo para reconstruirla...hdp más fariseos"
en,"Orlando, FL",Spiritual lightning rod' atop iconic Notre Dame spire found in rubble https://t.co/zoYvq52tG2 via @nypost
es,Desconocida,"RT @lubrio: Por supuesto que a toda Latinoamérica nos duele cada vez que un tesoro como Notre Dame se pierde. Estas obras fueron construidas, mantenidas o restauradas, al menos en parte, con el oro saqueado de nuestro continente, así que en parte también nos pertenecen. https://t.co/GkpXRtrUCn"
en,the Wilds of Virginia,"RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
es,Honduras,"RT @DANIELSCOTT89: Pucha la mara sí tira hate,que si ven #GOT, que si no ven #GOT que si van a la iglesia, que si no va a la iglesia, que  si les entristece Notre-Dame, que si les vale chancleta...pucha relajemos la vena ombe!"
en,"Alabama, USA","RT @DixieRedPill: Ben Shapiro attacked the Covington kids, made a joke about Notre Dame burning to jab Trump, and believes Jesus is “A Jew who tried to start a revolt against the Romans, and got killed for it”; and Christians support this guy?"
en,,"RT @MarleneFFL: O video de dentro da Notre
Dame depois do incêndio!
Os vitrais sobreviveram e a
estátua Dela e de Santa Tereza de Jesus intactas.
É para quem tem fé muito significante 🙏🏻 Além! https://t.co/QWbBZJiVMg"
en,"New Jersey, USA",RT @ladybaguettee: @brookeawindsor My last photos of our beautiful Notre Dame 🤧 mon cœur est brisé https://t.co/r0xAEDBRXg
en,,"RT @itsramanmahi: Imagine if it was a very important mosques or temple, rather than a wooden church in Europe like the Notre Dame. Do you think the media would’ve covered it as much? The only time Mosques ever get mentioned is when 50 people die in one 🤷‍♂️"
sr,,Наталья Чаплыгина - Видовдан ЖЗ https://t.co/jNdvCze1eP преко @YouTube NOTRE DAME!!!
en,"Texas, USA","RT @SCBegley: A professor at my college was a leading expert on Notre Dame; one of his projects was this series of stunning, navigable panoramic images, which you can use to virtually tour the cathedral—including parts you probably wouldn't get to visit in person https://t.co/bfVciwEFOB"
en,Singapore,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
es,"Ciudad Autónoma de Buenos Aires, Argentina",RT @FLOTUS: My heart breaks for the people of Paris after seeing the fire at Notre Dame Cathedral. Praying for everyone’s safety.
en,▮▮▮▮⌊...⌉,"I doubt she would publicly say she was happy.
https://t.co/nR1S6erCw5"
de,Germany,RT @RollingStone: We talked to architects and historians about the significance of Notre Dame after the fire and what should happen next https://t.co/3xDF1eqHnT https://t.co/cGdMOYN7Uu
en,"Philadelphia, PA","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
es,"Nueva York, USA",RT @applesfera: Apple donará para la reconstrucción de la catedral de Notre Dame tras su incendio https://t.co/gUy2wLWmC2 https://t.co/MeYHX2X7UO
en,,"RT @yashar: 15. Thank you for joining us @soledadobrien!!! 

We're coming up on $100k raised in the past 1 1/2 hours! While Notre Dame will have the money it needs to rebuild, these 3 historically black churches need our help! 

Donate Here: https://t.co/gj1BcNsGpu

https://t.co/FnpwVYm8S8"
es,"Pontevedra, España",RT @santapa_: ahora todos son fans de notre dame a ver diganme 4 jorobados
en,From FL. To Ga.,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
